BMLVN	12	x2
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	FFF
0FF
00F
777
555
feed port max	50000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
0FF:000	255	0	1	7642.959456006049	477.59930419921875	0.5498920937560169	
DFF:FFB	3583	4091	1	2.8584234105392063	6.958024533002293E-4	4.566371057466883E-8	
047:00E	71	14	1	2.4592977485655547	3.8991696767149607E-4	1.2460617438682496E-8	
777:000	1911	0	1	5265.64689033724	161.08444213867188	0.2512370413740953	
0A7:0FE	167	254	1	230.7035012571318	0.23836417153165473	1.395980507887504E-4	
EFF:FFF	3839	4095	1	41.64634027203852	0.010169162462638322	1.0063484624318128E-5	
067:0FB	103	251	1	218.96349694188302	0.22361621290713257	8.212965273448364E-5	
3FD:7FF	1021	2047	1	78.15521742459873	0.04822437752645278	3.30878928559212E-5	
9FF:FFB	2559	4091	1	119.79472622054043	0.029143370520783148	1.978275195950126E-5	
FFB:FDF	4091	4063	1	40.29062802757653	0.009586495855194267	1.0732499235989054E-5	
FFB:FFD	4091	4093	1	52.69304310532759	0.012844922082616492	1.7788718941800627E-5	
00F:000	15	0	1	3256.2427280358756	12.29238510131836	3.8991696767149607E-4	
067:0FD	103	253	1	37.50648426099995	0.0386196187871291	3.956770417686681E-6	
1DE:7FE	478	2046	1	138.63223514194942	0.0853683824938527	8.771807413838968E-5	
0AF:7FE	175	2046	1	170.58248461155412	0.10505539908094634	1.5386455156360707E-4	
8AF:7FE	2223	2046	1	184.19635009765625	0.0	0.0	
FDF:FFF	4063	4095	1	43.13022994995117	0.0	0.0	

