BMLVN	12	x2
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	0FF
feed port max	350000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
00F:000	15	0	1	25000.0	907.0165405273438	0.20714379109722386	
0BF:FFF	191	4095	1	302.53818755360874	5.180077088992438	1.4543654988235255E-4	
002:FD7	2	4055	1	610.9239045122271	10.352776088706449	0.0	
FFF:000	4095	0	1	25000.0	2867.59619140625	24.894121702034543	
555:000	1365	0	1	24296.452155892406	1882.1644287109375	12.602481424619517	
007:01F	7	31	1	11.045732308666729	0.06450969334257514	0.0	
17F:0FF	383	255	1	102.79665343766536	5.870946904724052E-4	4.968681664888119E-5	
2FF:7FD	767	2045	1	224.88333361931709	4.36331453816863	5.356511401765595E-4	
FBD:FFF	4029	4095	1	96.0145629150669	1.6439589321963994	3.344413897990783E-4	
777:000	1911	0	1	25000.0	1514.981689453125	19.90923478099631	
0AB:7FE	171	2046	1	375.41019811279733	7.282962254644557	1.6474637842122438E-4	
0AF:5DE	175	1502	1	287.08949859304005	4.957890540185461	9.865057757811465E-5	
037:FFF	55	4095	1	269.05898612966274	4.606843299469409	7.755207323912491E-5	
00A:FF5	10	4085	1	528.2154969455584	9.035852490943313	1.5417425924839975E-5	
DFF:FF7	3583	4087	1	114.66697586065595	1.962752143450811	4.070627295606998E-4	
0AF:7FE	175	2046	1	409.55638728054294	7.945399115837809	1.9990018966906976E-4	
237:07F	567	127	1	99.66261089976473	0.14274650852736728	8.412776395298407E-5	
15F:1FB	351	507	1	18.91862959460387	0.07542610064859867	1.5180218472534279E-6	

