BMLVN	12	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	FFF
0FF
00F
777
555
feed port max	50000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
2FF:7FD	767	2045	1	98.51728044006049	0.008058730021725137	3.9782221417185205E-5	
AFF:7FF	2815	2047	1	93.86774255893943	0.0076769084598999685	1.6495708562414363E-5	
FBF:FBE	4031	4030	1	35.223407121536965	0.0018715731572618885	4.577529407401823E-6	
00F:000	15	0	1	4119.383979925607	145.71780395507812	0.0	
8E7:0FE	2279	254	1	80.75060124375966	8.774114105949195E-5	8.510422469624755E-6	
067:0FD	103	253	1	154.88629051421864	1.433765264804647E-4	5.6025214999017375E-5	
555:000	1365	0	1	2592.287416023403	13.494550704956055	0.022987367427965078	
0AF:0FE	175	254	1	282.9919036060573	5.827021679393155E-5	2.064861579105879E-4	
FFF:FDE	4095	4062	1	31.296025366069614	0.001763325481018727	3.790340676283094E-6	
FFF:7FE	4095	2046	1	56.269877922408554	0.004597151272344829	1.2402405556897263E-5	
FFF:000	4095	0	1	1227.4782442972974	110.59716033935547	0.005456411523584826	
BFB:FFF	3067	4095	1	80.84230220611958	0.00454425361806875	9.48094210386851E-6	

