BMLVN	12	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	0FF
0C7
0B5
023
011
feed port max	50000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
0AE:1FE	174	510	1	32.53621000475044	0.006639192437104625	1.0230320556854802E-5	
0E7:0BE	231	190	1	7.962892153929453	0.0014941394283299238	8.308364721246626E-7	
FEB:FFB	4075	4091	1	2.506519755670525	0.001204656132726685	8.718907681262763E-9	
77F:7FF	1919	2047	1	4.300580140393704	0.0018037297256457347	4.7314860407638105E-8	
FFF:000	4095	0	1	4887.983893604224	22.693574905395508	0.03441879356520327	
00F:000	15	0	1	5576.035387919512	129.89312744140625	0.0	
0FF:000	255	0	1	4236.270337020093	289.93182373046875	0.227148004581584	
777:000	1911	0	1	4036.756451762222	495.5947265625	0.03278089392901788	
067:0FE	103	254	1	404.7782304288131	0.10152498816244876	4.994541438289679E-4	
02F:7FF	47	2047	1	67.56926633839787	0.028339617132487647	1.1411312495588491E-5	
8E7:0FE	2279	254	1	295.7397234006817	0.07448705480819055	1.962852643406922E-6	
2E7:0FE	743	254	1	163.19618920967784	0.04108410055002421	1.1321496044358835E-4	
0FF:7FE	255	2046	1	95.29609649978563	0.03992538432794389	1.3054628277820747E-4	
555:000	1365	0	1	1296.3327953238106	442.79595947265625	0.0013874638861100757	

