BMLVN	12	x2
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	FFF
feed port max	350000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
17D:1FB	381	507	1	133.98846871644983	0.8199729671093732	1.5220630972774306E-5	
0E7:0FA	231	250	1	14.69549715915235	0.1431159483639043	2.746011404353186E-7	
0F7:FDF	247	4063	1	148.2738588179706	0.3842662978702837	3.525208700052661E-5	
555:000	1365	0	1	24343.299260950986	2467.77978515625	3.865754468362047	
087:00F	135	15	1	47.58378074680697	0.38350870873273074	1.463156243104281E-6	
FFD:FF7	4093	4087	1	31.444172061272372	0.08101293274570917	1.55831734962485E-5	
0FF:000	255	0	1	25000.0	1177.873046875	1.0197486378135376	
00F:000	15	0	1	22645.282852869193	213.80767822265625	0.3834819597738742	
0AF:7F6	175	2038	1	194.50249506518372	1.2254967074633876	3.226881509373513E-5	
003:FF5	3	4085	1	294.9501513781712	0.7602865140116124	1.3191124182115655E-5	
002:FF7	2	4087	1	366.2249872896669	0.9435493528534877	1.355783467437067E-5	
056:FFF	86	4095	1	24.648855835585803	0.0633820670897162	2.448300614744901E-7	
3FF:77B	1023	1915	1	85.23031855968988	0.4645642380942908	4.361213217173356E-5	

